TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-10 00:00:23.777558+00:00,424,1
2024-05-10 00:00:24.018617+00:00,932,17
2024-05-10 00:00:24.267061+00:00,707,4
2024-05-10 00:00:24.272874+00:00,933,16
2024-05-10 00:00:24.386946+00:00,667,30
2024-05-10 00:00:24.400683+00:00,288,15
2024-05-10 00:00:24.401601+00:00,75,5
2024-05-10 00:00:24.517067+00:00,1119,25
2024-05-10 00:00:24.541048+00:00,1890,27
2024-05-10 00:00:24.543521+00:00,696,3
2024-05-10 00:00:24.583949+00:00,958,11
2024-05-10 00:00:24.631581+00:00,411,151
2024-05-10 00:00:24.787491+00:00,1108,12
2024-05-10 00:00:24.833905+00:00,1489,3
2024-05-10 00:00:25.006077+00:00,1173,2
2024-05-10 00:00:25.025091+00:00,17,1
2024-05-10 00:00:25.042887+00:00,1108,14
2024-05-10 00:00:25.130793+00:00,439,1
2024-05-10 00:00:25.155440+00:00,1133,9
2024-05-10 00:00:25.293251+00:00,1890,4
2024-05-10 00:00:25.293722+00:00,724,40
2024-05-10 00:00:25.333138+00:00,1492,1
2024-05-10 00:00:25.387986+00:00,297,6
2024-05-10 00:00:25.633964+00:00,1401,1
2024-05-10 00:00:25.777309+00:00,1120,21
2024-05-10 00:00:25.780210+00:00,1038,30
2024-05-10 00:00:25.789223+00:00,539,14
2024-05-10 00:00:25.790107+00:00,1890,4
2024-05-10 00:00:25.791248+00:00,985,9
2024-05-10 00:00:26.137638+00:00,81,9
2024-05-10 00:00:26.139240+00:00,83,1
2024-05-10 00:00:26.287455+00:00,1337,6
2024-05-10 00:00:26.337170+00:00,1489,14
2024-05-10 00:00:26.386695+00:00,462,3
2024-05-10 00:00:26.388540+00:00,1402,15
2024-05-10 00:00:26.524364+00:00,214,3
2024-05-10 00:00:26.588285+00:00,1455,4
2024-05-10 00:00:26.890594+00:00,1404,13
2024-05-10 00:00:26.909001+00:00,1019,5
2024-05-10 00:00:26.913293+00:00,1567,19
2024-05-10 00:00:26.914098+00:00,79,4
2024-05-10 00:00:27.037731+00:00,1338,1
2024-05-10 00:00:27.138795+00:00,84,15
2024-05-10 00:00:27.156582+00:00,1019,18
2024-05-10 00:00:27.158203+00:00,80,3
2024-05-10 00:00:27.277242+00:00,1122,128
2024-05-10 00:00:27.506337+00:00,158,18
2024-05-10 00:00:27.529597+00:00,199,6
2024-05-10 00:00:27.537979+00:00,1762,4
